id;contextid;component;preferredbehaviour
20258;41;mod_quiz;deferredfeedback
20405;55;mod_quiz;deferredfeedback
20406;5;filter_embedquestion;interactive
20407;5;filter_embedquestion;interactive
20408;5;filter_embedquestion;interactive
20409;5;filter_embedquestion;interactive
20410;5;filter_embedquestion;interactive
20411;5;filter_embedquestion;interactive
20412;5;filter_embedquestion;interactive
20413;5;filter_embedquestion;interactive
20414;5;filter_embedquestion;interactive
20415;5;filter_embedquestion;interactive
20416;5;filter_embedquestion;interactive
20417;5;filter_embedquestion;interactive
20418;5;filter_embedquestion;interactive
20419;5;filter_embedquestion;interactive
20420;5;filter_embedquestion;interactive
20421;5;filter_embedquestion;interactive
20422;5;filter_embedquestion;interactive
20423;5;filter_embedquestion;interactive
20424;5;filter_embedquestion;interactive
20425;5;filter_embedquestion;interactive
20426;5;filter_embedquestion;interactive
20427;5;filter_embedquestion;interactive
20428;5;filter_embedquestion;interactive
20429;5;filter_embedquestion;interactive
20430;5;filter_embedquestion;interactive
20431;5;filter_embedquestion;interactive
20432;5;filter_embedquestion;interactive
20433;5;filter_embedquestion;interactive
20434;5;filter_embedquestion;interactive
20435;5;filter_embedquestion;interactive
20436;5;filter_embedquestion;interactive
20437;41;mod_quiz;deferredfeedback
20438;41;mod_quiz;deferredfeedback
20439;570;filter_embedquestion;interactive
20440;570;filter_embedquestion;interactive
20441;570;filter_embedquestion;interactive
20442;570;filter_embedquestion;interactive
20443;570;filter_embedquestion;interactive
20444;570;filter_embedquestion;interactive
20445;570;filter_embedquestion;interactive
20446;570;filter_embedquestion;interactive
20447;570;filter_embedquestion;interactive
20448;570;filter_embedquestion;interactive
20449;570;filter_embedquestion;interactive
20450;570;filter_embedquestion;interactive
20451;570;filter_embedquestion;interactive
20452;570;filter_embedquestion;interactive
20453;570;filter_embedquestion;interactive
20454;570;filter_embedquestion;interactive
20455;570;filter_embedquestion;interactive
20456;570;filter_embedquestion;interactive
20457;570;filter_embedquestion;interactive
20458;570;filter_embedquestion;interactive
20459;570;filter_embedquestion;interactive
20460;570;filter_embedquestion;interactive
20461;570;filter_embedquestion;interactive
20462;570;filter_embedquestion;interactive
20463;570;filter_embedquestion;interactive
20464;570;filter_embedquestion;interactive
20465;570;filter_embedquestion;interactive
20466;570;filter_embedquestion;interactive
20467;570;filter_embedquestion;interactive
20468;570;filter_embedquestion;interactive
20469;570;filter_embedquestion;interactive
20470;570;filter_embedquestion;interactive
20471;570;filter_embedquestion;interactive
20472;570;filter_embedquestion;interactive
20473;570;filter_embedquestion;interactive
20474;570;filter_embedquestion;interactive
20475;570;filter_embedquestion;interactive
20476;570;filter_embedquestion;interactive
20477;570;filter_embedquestion;interactive
20478;570;filter_embedquestion;interactive
20479;570;filter_embedquestion;interactive
20480;570;filter_embedquestion;interactive
20481;570;filter_embedquestion;interactive
20482;570;filter_embedquestion;interactive
20483;570;filter_embedquestion;interactive
20484;570;filter_embedquestion;interactive
20485;570;filter_embedquestion;interactive
20486;570;filter_embedquestion;interactive
20487;570;filter_embedquestion;interactive
20488;570;filter_embedquestion;interactive
20489;570;filter_embedquestion;interactive
20490;570;filter_embedquestion;interactive
20491;570;filter_embedquestion;interactive
20492;570;filter_embedquestion;interactive
